date,onions,frac
22/03/2016,60910,0.522711
23/03/2016,59790,0.520412
24/03/2016,60069,0.509477
25/03/2016,60309,0.524414
26/03/2016,59731,0.523504
27/03/2016,59774,0.521732
28/03/2016,61229,0.516763
29/03/2016,58853,0.532496
30/03/2016,59320,0.528016
31/03/2016,59638,0.537279
01/04/2016,59267,0.536881
02/04/2016,60151,0.536479
03/04/2016,57344,0.533072
04/04/2016,56271,0.52845
05/04/2016,55123,0.519126
06/04/2016,55156,0.527183
07/04/2016,57535,0.52234
08/04/2016,56483,0.52528
09/04/2016,55921,0.537714
10/04/2016,56932,0.530762
11/04/2016,56195,0.539469
12/04/2016,55355,0.537527
13/04/2016,57022,0.536198
14/04/2016,57269,0.539064
15/04/2016,54704,0.536392
16/04/2016,53638,0.527739
17/04/2016,54559,0.533138
18/04/2016,55777,0.529094
19/04/2016,55620,0.532818
20/04/2016,55838,0.540191
21/04/2016,54918,0.543405
22/04/2016,56053,0.536239
23/04/2016,54832,0.533128
24/04/2016,54081,0.534944
25/04/2016,56299,0.531246
26/04/2016,55051,0.537018
27/04/2016,55985,0.538202
28/04/2016,55877,0.534949
29/04/2016,55249,0.538535
30/04/2016,54331,0.549973
01/05/2016,52924,0.537315
02/05/2016,55473,0.535019
03/05/2016,55831,0.533616
04/05/2016,55876,0.529792
05/05/2016,55622,0.535359
06/05/2016,53934,0.534259
07/05/2016,55040,0.536553
08/05/2016,54201,0.535198
09/05/2016,54653,0.535902
10/05/2016,55171,0.534049
11/05/2016,54655,0.539461
12/05/2016,55417,0.548251
13/05/2016,56306,0.535812
14/05/2016,56191,0.54707
15/05/2016,54825,0.554384
16/05/2016,55092,0.553153
17/05/2016,55551,0.550022
18/05/2016,56680,0.552302
19/05/2016,55637,0.555244
20/05/2016,54726,0.561999
21/05/2016,54500,0.561047
22/05/2016,54196,0.567026
23/05/2016,53783,0.565153
24/05/2016,53631,0.561136
25/05/2016,55183,0.556637
26/05/2016,55001,0.561036
27/05/2016,54943,0.557587
28/05/2016,53392,0.564255
29/05/2016,52559,0.567218
30/05/2016,53471,0.572564
31/05/2016,55141,0.565568
01/06/2016,56436,0.569623
02/06/2016,56392,0.568491
03/06/2016,55118,0.567717
04/06/2016,53608,0.559591
05/06/2016,53905,0.55504
06/06/2016,56263,0.561211
07/06/2016,55092,0.551286
08/06/2016,54260,0.543562
09/06/2016,55063,0.537464
10/06/2016,55981,0.542731
11/06/2016,56205,0.547865
12/06/2016,56986,0.547528
